Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Ekans,,23,♀,10,11,,,,31.5,1.0,1.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,7.16kg,11m,0,0,0,200,79.37%,74,98.73%,161000,212,Arbok,,0,17.43%,2540,86.30%,520000,354,Arbok,,0,76.04%,72,97.40%,65500,75,Ekans,,0,
2,Caterpie,,10,♀,10,12,12,5,4,46.7,1.0,1.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,16.21%,3432,93.53%,148000,210,Butterfree,,0,39.95%,2460,86.06%,520000,366,Butterfree,,0,5.62%,3866,88.11%,10000,80,Butterfree,,0,
3,Pikachu,Normal,25,♀,12,11,11,11,10,71.1,1.0,1.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,60.49%,1619,94.87%,76000,134,Raichu,Normal,0,87.01%,533,93.02%,520000,354,Raichu,Normal,0,70.13%,1224,93.44%,45000,56,Pikachu,Normal,0,
4,Mareanie,,747,♂,12,13,14,6,10,66.7,1.0,1.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,11.38%,3630,92.13%,175000,228,Toxapex,,0,88.21%,484,93.10%,520000,354,Toxapex,,0,18.39%,3343,89.86%,40000,52,Mareanie,,0,
5,Weedle,,13,,18,22,10,15,13,84.4,2.0,2.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,15000,49.38%,2074,95.14%,109600,174,Beedrill,Normal,0,97.68%,96,95.98%,519600,364,Beedrill,Normal,0,97.34%,110,94.92%,519600,302,Weedle,,0,
6,Gulpin,,316,♀,32,29,10,0,3,28.9,2.0,2.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,4.96%,3893,91.77%,109600,162,Swalot,,0,15.92%,3444,84.03%,519600,352,Swalot,,0,15.95%,3443,88.60%,65100,73,Gulpin,,0,
7,Lillipup,,506,♀,35,22,13,0,6,42.2,2.0,2.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,4.08%,3929,91.97%,333600,327,Herdier,,0,1.42%,4038,93.20%,197600,329,Stoutland,,0,23.22%,3145,91.08%,14200,47,Herdier,,0,
8,Pawmi,,921,♀,38,27,1,13,1,33.3,3.0,3.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,400,91.16%,363,97.56%,55200,187,Pawmot,,0,89.30%,439,97.97%,357200,425,Pawmot,,0,97.68%,96,98.03%,4800,134,Pawmot,,0,
9,Poochyena,,261,♂,41,24,7,4,3,31.1,3.0,3.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,400,41.73%,2387,94.80%,129200,176,Mightyena,,0,16.63%,3415,82.90%,519200,350,Mightyena,,0,37.51%,2560,90.84%,9200,64,Mightyena,,0,
10,Charmander,,4,,53,24,10,10,10,66.7,2.5,2.5,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,15000,85.20%,607,96.56%,39400,174,Charizard,Normal,0,66.69%,1365,96.49%,160400,284,Charizard,Normal,0,86.84%,540,96.08%,3600,133,Charizard,Normal,0,
11,Taillow,,276,♀,63,31,1,5,5,24.4,4.0,4.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,400,65.08%,1431,95.63%,146400,192,Swellow,,0,9.94%,3689,81.45%,518400,348,Swellow,,0,96.95%,126,97.27%,9400,63,Swellow,,0,
12,Bidoof,,399,♂,77,44,6,2,0,17.8,5.0,5.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,600,19.19%,3310,93.51%,195600,248,Bibarel,,0,3.32%,3960,79.15%,517600,346,Bibarel,,0,65.30%,1422,93.59%,9600,62,Bibarel,,0,
13,Lechonk,,915,♂,86,42,9,10,2,46.7,5.0,5.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,600,60.32%,1626,95.51%,50600,105,Oinkologne,Male,0,36.56%,2599,95.54%,309600,346,Oinkologne,Male,0,33.09%,2741,90.04%,89600,90,Lechonk,,0,
14,Glameow,,431,♀,89,37,11,6,13,66.7,4.0,4.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,400,63.25%,1506,95.66%,103900,154,Purugly,,0,79.68%,833,91.33%,518400,348,Purugly,,0,77.75%,912,94.90%,7400,61,Purugly,,0,
15,Meowth,Galar,52,♂,105,38,12,15,13,88.9,4.0,4.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,400,27.59%,2966,93.97%,54400,110,Perrserker,,0,79.17%,854,96.02%,380400,348,Perrserker,,0,85.15%,609,94.80%,4000,57,Perrserker,,0,
16,Charmander,,4,♂,113,35,9,1,5,33.3,5.0,5.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,600,14.90%,3486,93.16%,298600,321,Charmeleon,,0,12.41%,3588,94.30%,195600,323,Charizard,Normal,0,25.96%,3033,89.57%,1800,128,Charizard,Normal,0,
